SMILES                           Hf (kcal/mol)
C1OCC=C1                              -15.5908
C1CCCC1                               -19.0292
C1CCOC1                               -44.9817
C1COCO1                               -72.8004
C1C2CCC12                              37.6879
C1C2COC12                              15.2463
C1CC2OC12                               9.6200
N1C=CC=N1                              37.2024
N1C=CN=N1                              54.3300
N1C=NC=N1                              38.3178
N1C=NN=C1                              44.1819
N1N=CC=N1                              50.6289
O1C=CC=N1                              15.1088
O1C=CN=N1                              29.0021
O1C=NC=N1                              15.4774
O1C=NN=C1                               9.8637
O1C=NN=N1                              43.0800
O1N=CC=N1                              39.8474
O1N=CN=N1                              53.3755
O1N=NN=N1                              79.0579
CC(=NO)C#C                             51.9069
CC(CO)=NO                             -51.9507
CCC(C)=NO                             -23.4217
ON=C1CCC1                              14.9552
ON=C1CNC1                              32.9060
ON=C1COC1                              -7.3528
FC(F)(F)F                            -236.0779
N=C1NC=CO1                             -3.3368
N=C1OC=CO1                            -38.0905
O=C1NC=CN1                            -27.3221
O=C1NC=CO1                            -62.7083
O=C1OC=CO1                            -97.2624
CC1=CC=CN1                             15.2352
CC1=CC=CO1                            -19.8215
CC1=CN=CO1                            -18.3691
CC1=NC=CO1                            -19.5187
NC1=CC=CN1                             27.0616
NC1=CC=CO1                             -9.1303
NC1=CN=CO1                             -7.1772
NC1=NC=CO1                            -12.0536
OC1=CC=CN1                            -13.2035
OC1=CN=CN1                             -9.9872
OC1=NC=CN1                            -17.1395
CC1=CNC=C1                             16.5323
CC1=CNC=N1                             17.0704
CC1=COC=C1                            -17.2544
CC1=COC=N1                            -17.4003
NC1=CNC=C1                             29.0150
NC1=CNC=N1                             27.0067
NC1=COC=C1                             -5.0314
NC1=COC=N1                             -7.4389
OC1=CNC=C1                            -10.8177
OC1=CNC=N1                            -14.7832
OC1=COC=N1                            -48.0076
CN1C=CC=C1                             21.3848
CN1C=CN=C1                             23.4126
C1=CC=CC=C1                            19.2638
C1=CC=NC=C1                            29.1373
C1=CN=CC=N1                            41.3301
C1=CN=CN=C1                            37.4396
C1=NC=NC=N1                            44.2716
CC(C)(C)C#C                            28.7481
CC(C)(C)C#N                            -0.4082
CC(C)(N)C#N                            11.0649
CC(C)(O)C#C                             0.5598
CC(C)(O)C#N                           -27.2110
CC(C)(C)C=O                           -59.1630
CC(C)(O)C=O                           -89.1950
CC(C)(C)CO                            -73.3519
CC(C)(O)CO                           -105.0191
CCC(C)(C)C                            -44.4175
CCC(C)(C)O                            -77.2657
COC(C)(C)C                            -69.7280
CC#CC(C)=O                              4.9557
CC#CC(N)=O                              0.6093
CC#CC(C)C                              23.0039
CC#CC(C)O                              -5.1882
CC(=O)CC#C                             11.5151
CC(=O)CC#N                            -15.0653
NC(=O)CC#C                              8.1055
NC(=O)CC#N                            -19.5366
CC(=N)NC=O                            -39.6899
CC(=N)OC=O                            -75.6039
CC(=O)CC=O                            -75.4944
CC(=O)NC=N                            -33.7757
CC(=O)NC=O                            -87.5598
CC(=O)OC=N                            -78.1509
NC(=N)NC=O                            -37.4444
NC(=O)CC=O                            -81.2119
NC(=O)NC=N                            -33.4798
NC(=O)NC=O                            -87.8287
NC(=O)OC=N                            -80.4410
CC(C)CC#C                              28.9552
CC(C)CC#N                              -0.0794
CC(O)CC#C                              -0.7586
CC(O)CC#N                             -28.6197
CN(C)CC#N                              24.4233
CC(C)CC=O                             -57.2065
CC(C)NC=O                             -64.5455
CC(C)OC=O                            -102.0044
CC(O)CC=O                             -86.7182
CN(C)CC=O                             -35.2835
CC(=O)CCO                             -91.6636
CCCC(C)=O                             -65.0780
CCCC(N)=O                             -69.9465
CCNC(C)=O                             -68.5559
CCNC(N)=O                             -67.5234
CCOC(C)=O                            -109.8890
CCOC(N)=O                            -110.6059
C[NH2+]CC([O-])=O                     -95.4635
COCC(C)=O                             -82.8107
COCC(N)=O                             -86.8792
NC(=O)CCO                             -96.7399
[NH3+]CCC([O-])=O                     -50.4899
CC(C)CCO                              -70.9774
CC(O)CCO                             -102.0435
CCCC(C)C                              -44.4758
CCCC(C)O                              -75.4089
CCOC(C)C                              -72.2199
COCC(C)C                              -67.9246
COCC(C)O                              -98.7146
CC(=O)C(C)=O                          -80.9217
CC(=O)C(N)=N                          -34.5538
CC(=O)C(N)=O                          -89.3162
NC(=[NH2+])C([O-])=O                  -79.9654
NC(=O)C(N)=O                          -98.5183
CC(C)C(C)=O                           -64.5690
CC(C)C(N)=O                           -70.2966
CC([NH3+])C([O-])=O                  -102.4019
CC(O)C(C)=O                           -97.0420
CC(O)C(N)=O                          -102.5236
CN(C)C(C)=O                           -61.8234
CN(C)C(N)=O                           -61.2834
CC(C)C(C)C                            -43.4423
CC(C)C(C)O                            -74.8642
CC(O)C(C)O                           -106.7592
CC1(C)CCC1                             -9.8126
CC1(C)CCO1                            -41.1077
CC1(C)COC1                            -35.7457
CC1(O)CCC1                            -41.9505
CC1(O)COC1                            -66.5187
CC1(C)CC1O                            -37.9018
CC1(O)CC1O                            -67.1456
CC1CC1(C)C                             -9.3840
CC1CC1(C)O                            -39.1235
CC1OC1(C)C                            -43.0794
CN1CC1(C)C                              8.9616
CC1CC(=N)O1                           -23.0048
CC1CC(=O)C1                           -30.2415
CC1CC(=O)N1                           -36.3663
CC1CC(=O)O1                           -79.7570
CN1CC(=O)C1                            -9.2636
OC1CC(=O)C1                           -58.5698
CC1CC(C)C1                            -10.5574
CC1CC(C)O1                            -42.2059
CC1CC(O)C1                            -39.9042
CN1CC(O)C1                            -20.7598
OC1CC(O)C1                            -69.0557
CC12CC(C1)C2                           40.6256
CC12CC(C1)O2                           17.4850
CC12CN(C1)C2                           65.5293
OC12CC(C1)C2                            9.4051
OC12CN(C1)C2                           32.8486
O=C(C#C)C#C                            93.7588
O=C(C#C)C#N                            71.9450
O=C(C#N)C#N                            53.8160
O=CC(=O)C#C                            11.5480
O=CC(=O)C#N                            -8.9035
O=CC(=O)C=O                           -65.7790
CC(C#C)C#C                            107.8430
CC(C#C)C#N                             80.2844
CC(C#N)C#N                             55.0406
NC(C#C)C#N                             95.2571
NC(C#N)C#N                             70.8523
OC(C#C)C#C                             82.2488
OC(C#C)C#N                             56.1560
OC(C#N)C#N                             32.7477
CC(C=O)C#C                             18.7584
CC(C=O)C#N                             -8.0271
OC(C=O)C#C                             -9.6332
OC(C=O)C#N                            -35.0640
CC(C=O)C=O                            -66.4745
CN(C=N)C=O                            -34.1252
CN(C=O)C=O                            -86.1316
OC(C=O)C=O                            -96.1607
CN=C(N)C#N                             42.7578
CN=C(N)C=O                            -24.2526
CCC(=O)C#C                             12.9401
CCC(=O)C#N                            -10.6451
CNC(=N)C#N                             40.3764
CNC(=O)C#C                             11.4244
COC(=O)C#C                            -25.7276
COC(=O)C#N                            -48.3666
OCC(=O)C#C                             -9.4833
OCC(=O)C#N                            -32.5753
CCC(=O)C=O                            -72.4760
CNC(=N)C=O                            -20.4994
CNC(=O)C=O                            -71.3173
COC(=O)C=O                           -109.4984
OCC(=O)C=O                            -89.6917
CCC(=O)CC                             -65.5705
CCC(=O)CO                             -87.9550
CCC(=O)NC                             -67.1007
CCC(=O)OC                            -107.1342
CNC(=O)CO                             -88.6494
CNC(=O)NC                             -61.8682
CNC(=O)OC                            -104.3039
COC(=O)CN                             -93.7699
COC(=O)CO                            -134.6424
OCC(=O)CO                            -109.8011
COC(C)=NC                             -45.0526
CC(CO)C#C                               2.4341
CC(CO)C#N                             -26.1668
CCC(C)C#C                              30.2635
CCC(C)C#N                               1.1920
CCC(N)C#N                              13.4915
CCC(O)C#C                               1.5249
CCC(O)C#N                             -25.9108
CNC(C)C#N                              20.6099
COC(C)C#C                               9.9197
COC(C)C#N                             -20.2381
NC(CO)C#N                             -12.0745
NCC(N)C#N                              27.6653
NCC(O)C#N                             -12.4491
OCC(O)C#C                             -27.3631
OCC(O)C#N                             -53.4302
CC(CO)C=O                             -84.8551
CCC(C)C=O                             -56.3292
CCC(O)C=O                             -89.5389
CCN(C)C=O                             -59.8724
COC(C)C=O                             -79.5929
OCC(O)C=O                            -117.2798
CC(CO)CO                              -98.4749
CCC(C)CC                              -43.4869
CCC(C)CO                              -71.3828
CCC(C)OC                              -69.1212
CCC(O)CC                              -75.5576
CCC(O)CO                             -104.4174
COC(C)CO                              -97.5367
OCC(O)CO                             -131.8903
CC1(CC1)C#C                            65.3077
CC1(CC1)C#N                            36.6220
CC1(CN1)C#C                            81.1451
CC1(CN1)C#N                            53.4973
CC1(CO1)C#C                            38.1792
CC1(CO1)C#N                            11.7978
NC1(CC1)C#N                            48.3373
OC1(CC1)C#C                            37.9150
OC1(CC1)C#N                            10.5716
CC1(CC1)C=O                           -25.1995
CC1(CN1)C=O                            -9.5930
CC1(CO1)C=O                           -51.4024
OC1(CC1)C=O                           -55.0990
CC1(CO)CC1                            -35.5417
CC1(CO)CN1                            -24.3811
CC1(CO)CO1                            -67.0081
CCC1(C)CC1                             -8.0800
CCC1(C)CO1                            -38.6516
CCC1(O)CC1                            -37.9313
COC1(C)CC1                            -31.3079
OCC1(O)CC1                            -66.1541
CC1CCC1=O                             -30.3984
CC1CNC1=O                             -34.6338
CC1COC1=N                             -19.7009
CC1COC1=O                             -76.3070
CC1NCC1=O                             -14.4681
CC1OCC1=O                             -55.7190
CN1CCC1=O                             -33.2696
NC1COC1=N                              -6.8229
NC1COC1=O                             -62.9012
OC1CCC1=O                             -57.7572
OC1CNC1=O                             -61.0212
OC1COC1=N                             -46.1636
OC1COC1=O                            -101.4889
CC1CCC1C                               -8.4270
CC1CCC1O                              -38.5745
CC1COC1C                              -37.5322
CC1OCC1O                              -66.4114
OC1CCC1O                              -70.2003
N=C1CN=CN1                             34.8581
O=C1CC=CC1                            -17.5336
O=C1CC=CN1                            -23.1940
O=C1CN=CN1                            -21.4053
O=C1CN=CO1                            -59.7176
N=C1OCC=C1                             -8.2625
O=C1CCC=C1                            -22.2857
O=C1NCC=C1                            -23.6942
N=C1CCCO1                             -34.5986
N=C1COCO1                             -59.8854
N=C1OCCO1                             -66.2119
O=C1CCCC1                             -46.6704
O=C1CCCN1                             -50.9735
O=C1CCCO1                             -89.7093
O=C1CCOC1                             -69.5776
O=C1COCO1                            -114.2336
O=C1NCCN1                             -47.1667
O=C1NCCO1                             -86.6593
O=C1OCCO1                            -124.9691
CC1=CCCC1                              -1.0398
CC1=CCOC1                             -25.5371
CC1=NCCO1                             -34.6702
CC1CC=CC1                               2.7560
CC1CN=CO1                             -30.8606
OC1CC=CC1                             -27.1190
CC1CCC=C1                               2.6707
CC1COC=N1                             -29.4123
CC1OCC=C1                             -24.6479
OC1CCC=C1                             -26.8969
CC1CCCC1                              -25.4959
CC1CCCO1                              -54.4360
CC1CCOC1                              -51.5633
CC1COCO1                              -82.1863
CC1OCCO1                              -84.7158
OC1CCCC1                              -55.0949
OC1CCOC1                              -80.3578
CC1C(C)C1C                             -6.3042
CC1C(C)C1O                            -35.6816
CC1C(C)N1C                             12.6821
CC1C(O)C1O                            -63.8154
OC1C(O)C1O                            -95.6458
CC12CC1CC2                             28.6182
CC12CC1CO2                              3.6007
CC12CC1OC2                              6.2601
CC12CCC1O2                             -1.9823
OC12CC1CC2                              0.3263
OC12CC1OC2                            -20.8973
C#CC#CC#C                             161.8281
C#CC#CC#N                             140.6695
N#CC#CC#N                             123.0581
C#CCCC#C                              105.0581
C#CCCC#N                               77.0715
N#CCCC#N                               50.4730
O=CC#CC#C                              85.0703
O=CC#CC#N                              65.3668
O=CC#CC=O                               7.9580
N=COCC#C                               36.6177
N=COCC#N                               11.0708
O=CCCC#C                               19.2309
O=CCCC#N                               -8.3252
O=CNCC#C                               14.9485
O=CNCC#N                              -11.8019
O=COCC#C                              -18.8802
O=COCC#N                              -43.6314
N=COCC=O                              -50.8248
O=CCCC=O                              -67.1089
O=CCNC=O                              -72.8510
O=CCOC=O                             -106.3188
CC#CC#CC                               84.4689
CC#CCC#C                              101.6087
CC#CCC#N                               73.5844
CC#CCC=O                               12.2624
CN=CNC=O                              -26.1477
CN=COC=O                              -64.3275
CCC#CC#C                               92.5374
CCC#CC#N                               68.5851
OCC#CC#C                               70.3588
OCC#CC#N                               47.3106
CCC#CC=O                               13.3957
OCC#CC=O                               -9.1055
CCC#CCC                                23.9332
CCC#CCO                                 0.6602
OCC#CCO                               -22.4227
CCN=COC                               -36.3088
CC#CCCO                                -3.4287
CCCC#CC                                23.3547
COCC#CC                                 4.8406
CCOC=NC                               -40.1216
CCCCC#C                                29.9303
CCCCC#N                                 0.9328
CCNCC#N                                20.0100
CCOCC#C                                 8.6634
CCOCC#N                               -18.4698
COCCC#C                                 7.8747
COCCC#N                               -20.4696
OCCCC#C                                 3.8203
OCCCC#N                               -24.8729
CCCCC=O                               -56.5733
CCCNC=O                               -62.5632
CCCOC=O                               -98.5129
CCOCC=O                               -79.9919
COCCC=O                               -77.6896
OCCCC=O                               -82.9469
OCCNC=O                               -90.7848
OCCOC=N                               -70.5413
OCCOC=O                              -126.0825
CCCCCC                                -44.5580
CCCCCO                                -71.1569
CCCCOC                                -66.6670
CCCOCC                                -70.1039
CCOCCO                                -98.7723
COCCCO                                -92.6679
COCCOC                                -87.7112
OCCCCO                                -97.7840
C#CC1CCC1                              65.9389
C#CC1CCO1                              41.4605
C#CC1COC1                              41.7146
N#CC1CCC1                              37.2087
N#CC1CCN1                              54.0947
N#CC1CCO1                              14.7427
N#CC1COC1                              14.3749
O=CC1CCC1                             -20.4913
O=CC1CCO1                             -45.9217
O=CC1COC1                             -44.4665
O=CN1CCC1                             -23.1874
CN=C1CCO1                             -13.9002
CCC1CCC1                               -8.0675
CCC1CCO1                              -37.0615
CCC1COC1                              -33.3643
COC1CCC1                              -32.5102
COC1COC1                              -56.3116
OCC1CCC1                              -34.7435
OCC1CCO1                              -64.9531
OCC1COC1                              -60.0886
C#CCC1CC1                              68.8506
C#CCC1CO1                              41.5452
C#CCN1CC1                              88.5716
N#CCC1CC1                              39.9284
N#CCC1CN1                              55.8009
N#CCC1CO1                              13.6816
N#CCN1CC1                              61.6957
N=COC1CC1                              -3.2740
O=CCC1CC1                             -18.0653
O=CCC1CN1                              -3.0067
O=CCC1CO1                             -45.4266
O=CCN1CC1                               1.4286
O=CNC1CC1                             -23.0173
O=COC1CC1                             -58.7549
CC#CC1CC1                              60.8787
CC#CC1CN1                              75.9455
CC#CC1CO1                              35.5882
CCCC1CC1                               -6.2891
CCCC1CO1                              -34.7209
CCCN1CC1                               12.0376
CCOC1CC1                              -31.2633
COCC1CC1                              -28.1980
COCC1CN1                              -13.2943
COCC1CO1                              -55.1476
OCCC1CC1                              -32.9106
OCCC1CO1                              -61.1748
OCCN1CC1                              -17.1284
CC1CC1C#C                              65.2349
CC1CC1C#N                              36.5248
CC1NC1C#C                              80.3168
CC1NC1C#N                              52.7738
CC1OC1C#C                              37.6314
CC1OC1C#N                              11.4953
CN1CC1C#C                              86.1865
CN1CC1C#N                              58.8092
OC1CC1C#C                              37.5216
OC1CC1C#N                               9.5670
CC1CC1C=O                             -22.2232
CC1CN1C=O                             -15.4226
CC1NC1C=O                              -7.7883
CC1OC1C=O                             -48.5077
CN1CC1C=O                              -0.9390
OC1CC1C=O                             -49.6347
CC1CC1CO                              -32.9319
CC1NC1CO                              -22.6913
CC1OC1CO                              -65.3503
CCC1CC1C                               -6.8231
CCC1CC1O                              -35.1445
CCC1CN1C                               13.0146
CCC1OC1C                              -38.4496
CCN1CC1C                               10.9150
CN1CC1CO                              -12.1974
COC1CC1C                              -29.6996
COC1CC1O                              -56.7346
OCC1CC1O                              -61.3744
CC(=O)C1CC1                           -29.8336
CC(=O)C1CN1                           -15.3285
CC(=O)C1CO1                           -53.1487
CC(=O)N1CC1                           -18.8770
NC(=O)C1CC1                           -34.6488
NC(=O)C1CN1                           -20.5189
NC(=O)C1CO1                           -60.2801
NC(=O)N1CC1                           -21.1659
CC(C)C1CC1                             -7.2166
CC(C)C1CO1                            -34.5760
CC(C)N1CC1                              9.5558
CC(O)C1CC1                            -36.6693
CC(O)C1CN1                            -23.2472
CC(O)C1CO1                            -66.9893
C1CC11CCC1                             30.0966
C1CC11CCO1                              2.4549
C1CC11COC1                              5.2460
C1NC11COC1                             18.8457
C1OC11CCC1                             -0.9124
C1OC11COC1                            -23.9683
C1C2CC1C=C2                            60.8957
C1C2OC1C=C2                            37.1921
C1C2CC1CC2                             17.7064
C1C2CC1OC2                             -6.2970
C1C2CCC1O2                             -8.8522
CC1C2CC1C2                             45.3928
CC1C2CC1O2                             24.0299
OC1C2CC1C2                             14.1567
OC1C2CC1O2                             -6.8423
C1CC=CCO1                             -23.8478
C1CCC=CC1                              -0.2755
C1COC=NC1                             -27.4206
C1CCCCC1                              -29.6055
C1CCOCC1                              -54.2126
C1COCCO1                              -77.3363
C1COCOC1                              -82.4217
C1CC2CCC12                             30.9256
C1CC2OCC12                              2.4605
C1OC2COC12                            -23.8202
CC1C2CCC12                             32.0545
CC1C2COC12                              8.2468
OC1C2CCC12                              2.2308
OC1C2COC12                            -20.7140
C1C2CC=CC12                            40.1345
C1C2OC=NC12                            11.4125
C1C=CC2NC12                            55.6330
C1C=CC2OC12                            12.2461
C1C2CCCC12                             10.5070
C1C2CCOC12                            -12.7679
C1C2COCC12                            -15.6664
C1C2OCOC12                            -37.4591
C1CC2OC2C1                            -20.9161
C1OCC2NC12                             -0.0348
C1OCC2OC12                            -43.2604
N=C1OC2CC12                            27.0055
O=C1CC2CC12                             8.8300
O=C1CC2CN12                            19.7947
O=C1CC2NC12                            28.1676
O=C1CC2OC12                           -13.2910
O=C1CN2CC12                            26.8505
O=C1NC2CC12                            12.1517
O=C1OC2CC12                           -28.9386
CC1CC2CC12                             31.1634
CC1CC2OC12                              2.3770
CC1OC2CC12                              5.4362
OC1CC2CC12                              1.0028
OC1CC2NC12                             14.0873
OC1CC2OC12                            -28.2027
OC1CN2CC12                             17.9653
C1C2C3CC2C13                           87.6414
C1C2C3CN2C13                          107.6806
C1C2C3OC2C13                           66.0507
N1C2C3NC2C13                          125.1827
N1C2C3OC2C13                           86.1156
O1C2C3OC2C13                           47.6063
C1CC1C1CC1                             32.2565
C1CC1C1CO1                              3.5681
C1CC1N1CC1                             52.5417
C1NC1C1CN1                             58.7274
C1NC1C1CO1                             18.4604
C1OC1C1CO1                            -23.6709
C1C2C1C1CC21                           86.8413
C1C2C1C1NC21                          101.1256
C1C2C1C1OC21                           56.7585
C1C2C1N1CC21                          102.2639
N1C2C1C1NC21                          122.1519
N1C2C1C1OC21                           77.9404
O1C2C1C1OC21                           34.7662
C1C2C3C1CN23                           87.7164
C1C2C3CC1C23                           72.1149
C1C2C3CC1N23                           80.4341
C1C2C3CN1C23                           94.6252
C1C2C3OC1C23                           50.1226
C12C3C1C1C2C31                        137.6008
C12C3C1N1C2C31                        150.2542
C1=CN=NC=C1                            59.3798
C1=CN=NN=C1                            85.5975
C1=NN=CN=N1                           101.9482
C1=NN=NC=N1                            95.0475
C1=NN=NN=C1                           114.4764
CC1=CC=NN1                             27.6314
CC1=CC=NO1                              3.2448
CC1=CN=NN1                             44.4615
CC1=CN=NO1                             16.7002
CC1=CNN=C1                             29.3721
CC1=CNN=N1                             44.4420
CC1=CON=C1                              6.6961
CC1=CON=N1                             18.6304
CC1=NC=NN1                             26.7789
CC1=NC=NO1                              1.8131
CC1=NNC=C1                             27.3741
CC1=NNC=N1                             26.9019
CC1=NNN=C1                             40.6243
CC1=NNN=N1                             54.7115
CC1=NOC=C1                              4.2639
CC1=NOC=N1                              2.8272
CC1=NON=C1                             28.6944
CC1=NON=N1                             40.2666
CN1C=CC=N1                             32.3609
CN1C=CN=N1                             48.7693
CN1C=NC=N1                             32.8344
CN1C=NN=C1                             40.7153
CN1C=NN=N1                             62.7738
CN1N=CC=N1                             44.3485
CN1N=CN=N1                             59.1192
CN1N=NN=N1                             85.7679
N=C1NC=NO1                             18.0923
N=C1NN=NN1                             74.6943
N=C1OC=NO1                            -16.3068
N=C1ON=NO1                             20.7172
NC1=CC=NN1                             39.0103
NC1=CC=NO1                             11.5703
NC1=CN=NN1                             56.2954
NC1=CN=NO1                             24.3906
NC1=CNN=C1                             42.1253
NC1=CNN=N1                             54.6024
NC1=CON=C1                             19.6501
NC1=CON=N1                             29.9773
NC1=NC=NN1                             35.0611
NC1=NC=NO1                              6.9716
NC1=NNC=C1                             36.6333
NC1=NNC=N1                             34.3219
NC1=NNN=C1                             50.3648
NC1=NNN=N1                             62.5513
NC1=NOC=C1                             12.9307
NC1=NOC=N1                              9.6774
NC1=NON=C1                             37.9480
NC1=NON=N1                             48.2012
O=C1NC=NN1                            -14.2520
O=C1NC=NO1                            -39.5246
O=C1NN=NN1                             15.0247
O=C1NN=NO1                            -11.7043
O=C1OC=NO1                            -74.0511
O=C1ON=NO1                            -35.7771
OC1=CC=NN1                             -0.9755
OC1=CNN=C1                              2.9075
OC1=CNN=N1                             13.8265
OC1=NC=NN1                             -6.0116
OC1=NNC=C1                             -4.6364
OC1=NNC=N1                             -5.1695
OC1=NNN=C1                             10.2666
OC1=NNN=N1                             24.1569
OC1=NOC=C1                            -27.2634
OC1=NOC=N1                            -27.9923
OC1=NON=N1                             11.9264
CC#CC(C)=NO                            39.2536
CC(CC#C)=NO                            47.1903
CC(CC#N)=NO                            19.1184
CC(CC=O)=NO                           -40.0274
CC(CCO)=NO                            -55.2724
CCCC(C)=NO                            -28.4439
COCC(C)=NO                            -49.7779
CC(=NO)C(C)=NO                        -15.1673
CC(=NO)C(N)=O                         -56.0851
CC(C)C(C)=NO                          -28.4062
CC(O)C(C)=NO                          -57.6444
CC1CC(C1)=NO                            7.8433
CN1CC(C1)=NO                           28.9286
ON=C1CC(O)C1                          -20.8997
ON=C(C#C)C#C                          124.7290
CCC(=NO)C#C                            47.4947
OCC(=NO)C#C                            23.2741
CCC(CC)=NO                            -27.5208
CCC(CO)=NO                            -56.1490
CC1CCC1=NO                              7.9168
CC1NCC1=NO                             23.8163
CC1OCC1=NO                            -17.7101
ON=C1CCC1O                            -20.0588
ON=C1CC=CC1                            18.4359
ON=C1CCC=C1                            15.4170
ON=C1CNC=C1                            25.6470
ON=C1CCCC1                            -10.4511
ON=C1CCOC1                            -33.8496
CC(=NO)C1CC1                            9.3092
CC(=NO)C1CN1                           22.6792
CC(=NO)C1CO1                          -18.7260
ON=C1CC2CC12                           48.2891
ON=C1CC2NC12                           66.5738
ON=C1CC2OC12                           24.1206
ON=C1CN2CC12                           65.8502
FC(F)(F)C#C                          -108.2005
FC(F)(F)C#N                          -129.2230
FC(F)(F)C=O                          -194.4638
NCC(F)(F)F                           -179.4663
OCC(F)(F)F                           -217.4121
CCC(F)(F)F                           -195.2202
CC1=CC(C)=CN1                           7.3346
CC1=CC(C)=CO1                         -28.2743
CC1=CC(N)=CN1                          19.8249
CC1=CC(N)=CO1                         -16.0840
CC1=CC(O)=CN1                         -20.0310
CC1=CC(O)=CO1                         -54.9453
CC1=CNC(N)=C1                          19.0619
CC1=CNC(O)=C1                         -21.3482
CC1=CNC(O)=N1                         -27.1718
CC1=COC(N)=C1                         -17.7927
CC1=COC(N)=N1                         -22.6631
CC1=COC(O)=N1                         -60.3027
